"ID","NAME","HNAME","SEX","MAIL","DEPARTMENT","CURRICULUM","ENTRANCE","TEL1","TEL2","TEL3","USER_NAME","PASSWORD"
"1","山田太郎","だわ","男","oowada","web","物理学科","2011","80","80","80","id","pass"
"2","佐藤花子","並件","男","naminami","web部","物理","2011","80","80","80","男","1123"
"3","木村愛里","ダワ亭","男","oowada","web","物理学科","2011","8","0","90","dada","dada"
"4","中本有実","ダワ亭","男","oowada","web","物理学科","2011","8","0","90","dada","dada"
"5","根本学","まりも","男","saitou","prog部","物理学科","2011","80","80","80","marimo","112233"
"6","古賀菜摘","なっちー","女","natsumi","CG部","医学科","2009","80","800","800","natsumi","zzzzzz"
"7","前田孝宏","マエッチ","男","maeda","prog","情報","2009","90","900","900","maeda","maeda"
"8","小林忠次","まりもまりも","男","marimomarimo@marimo.com","天文部","物理学科","2011","80","800","800","marimomarimo","marimoamrimo"
"9","増田明美","だわちｎ","男","capriccioso.and.grandioso@gmail.com","web部","物理学科","2011","2434724","2434724","2434724","dada","112233"
"10","三ツ矢哲郎","まえっち","男","maeda@gmail.com","web部","情報学科","2009","080","0080","0012","maeda","maeda"
"11","野沢拓也","テスト","男","test@test.co.jp",,"情報","2009","090","0900","0012","yuutp","maeda"
"12","飯坂毛糸","マエッチ","男","maeda@gmail.com",,"情報","2009","","","","test","maeda"
"13","オオワダ","ダワ亭","男","capriccioso.and.grandioso@gmail.com",,"物理学科","2011","123","123","123","aaaa","112233"
