"ID","NAME","HNAME","SEX","MAIL","CURRICULUM","ENTRANCE","TEL1","TEL2","TEL3","USER_NAME","PASSWORD","OB_FLAG","DELETE_FLAG"
"1","山田太郎","maturi","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","1246","6735","admin1","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"2","副局長１","ふく１","2","capriccioso.and.grandioso@gmail.com","物理","2011","080","9989","7787","admin2","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"3","木村","きむら","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","090","8878","6646","admin3","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"4","中本有実","ありみ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","029","8864","3459","admin4","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"5","局長","きょくちょう","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","068","5728","2571","admin5","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"6","古賀菜摘","こがさん","2","capriccioso.and.grandioso@gmail.com","医学科","2009","080","3472","2518","admin6","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"7","ニセコイ","にせこい","1","capriccioso.and.grandioso@gmail.com","情報","2009","029","7754","747","admin7","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"8","小林忠次","ばりこ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","4362","7257","admin8","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"9","増田明美","げるぐぐ","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","090","7575","1245","admin9","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"10","三ツ矢哲郎","みっちー","1","capriccioso.and.grandioso@gmail.com","情報学科","2009","080","0080","0012","admin10","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"11","野沢拓也","のざぺん","1","capriccioso.and.grandioso@gmail.com","情報","2009","090","0900","0012","admin11","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"12","副局長２","ふく２","1","capriccioso.and.grandioso@gmail.com","情報","2009","079","123","1233","admin12","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"13","大和田裕章","だわちん","1","capriccioso.and.grandioso@gmail.com","物理学科","2011","123","7628","7382","admin13","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","true"
"14","松本光","まつもっちゃん","1","capriccioso.and.grandioso1@gmail.com","物理学科","2011","029","3325","5563","admin14","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"15","大和田裕晃","だわ","2","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","0080","3748","admin15","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"16","DTM","DMT","2","capriccioso.and.grandioso@gmail.com","物理学科","2011","123","8478","7367","admin678","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"17","オオワダ","しゅん","2","capriccioso.and.grandioso@gmail.com","物理学科","2011","080","5472","6358","admin11234","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"18","大森崇","変態","3","capriccioso.and.grandioso@gmail.com","物理学科","2011","090","8368","2681","oomori","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"19","小林","ダワ亭","2","capriccioso.and.grandioso@gmail.com","医学科","2011","","","","admin20","95ebc3c7b3b9f1d2c40fec14415d3cb8","true","false"
"20","増田くん","K.key","1","capriccioso.and.grandioso@gmail.com","科学化","2013","","","","ind21","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","true"
"22","大森咲","もみさん","2","capriccioso.and.grandioso@gmail.com","栄養学科","2014","","","","admin16","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","true"
"23","藤田直哉","じっちょ","1","capriccioso.and.grandioso@gmail.com","情報学科","2010","080","1234","5678","admin17","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"24","山田太郎","だわちん","1","themis.in.skyolympus@gmail.com","物理学科","2011","","","","admin100","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"25","藤宮部","ふじみやさん","1","themis.in.skyolympus@gmail.com","物理学科","2014","","","","admin101","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"26","田中主任","たなかさん","1","themis.in.skyolympus@gmail.com","物理学科","2011","","","","admin1012","95ebc3c7b3b9f1d2c40fec14415d3cb8","true","false"
"27","小林","こばやし","1","themis.in.skyolympus@gmail.com","栄養学科","2014","","","","admin10113","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"28","自作","じさく","1","themis.in.skyolympus@gmail.com","情報学科","2014","","","","admin1014","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"29","ハッシュ化のテスト","ハッシュ","1","capriccioso.and.grandioso@gmail.com","栄養学科","2011","111","111","111","adminH","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
"30","ハッシュ化テスト２","ハッシュ２","2","capriccioso.and.grandioso@gmail.com","栄養学科","2011","111","1111","1111","adminH2","95ebc3c7b3b9f1d2c40fec14415d3cb8","false","false"
